"INCIDENT_KEY","VICTIM_ID","VICTIM_AGE_GROUP","VICTIM_SEX","VICTIM_RACE","STAT_MURDER_FLG"
"28135651","28135651-11149","UNKNOWN","UNKNOWN","UNKNOWN","N"
"28250387","28250387-11184","25-44","MALE","BLACK","Y"
"28285978","28285978-11198","18-24","MALE","BLACK","N"
"28332038","28332038-11209","18-24","MALE","BLACK","N"
"28332038","28332038-11210","25-44","MALE","BLACK","N"
"28349214","28349214-11219","25-44","MALE","WHITE HISPANIC","N"
"28742773","28742773-11318","25-44","MALE","BLACK","N"
"28883126","28883126-11357","<18","FEMALE","BLACK HISPANIC","N"
"29040552","29040552-11425","18-24","MALE","BLACK HISPANIC","Y"
"29059034","29059034-11432","25-44","MALE","BLACK","N"
"29080492","29080492-11441","45-64","MALE","UNKNOWN","N"
"29114163","29114163-11452","<18","MALE","BLACK","N"
"29114163","29114163-11453","18-24","MALE","BLACK","N"
"29145870","29145870-11467","25-44","MALE","BLACK","N"
"29174607","29174607-11473","18-24","MALE","BLACK","N"
"29210906","29210906-11495","18-24","MALE","BLACK","N"
"29246087","29246087-11508","18-24","MALE","BLACK","N"
"29259599","29259599-11514","25-44","MALE","BLACK","Y"
"29277332","29277332-11527","25-44","MALE","BLACK","N"
"29357208","29357208-11566","25-44","MALE","BLACK","Y"
"29357208","29357208-11567","25-44","MALE","BLACK","Y"
"29373508","29373508-11571","25-44","MALE","BLACK","N"
"29444850","29444850-11593","25-44","MALE","BLACK","N"
"32155723","32155723-11620","18-24","MALE","WHITE HISPANIC","Y"
"32155724","32155724-11621","25-44","MALE","BLACK HISPANIC","N"
"32155725","32155725-11622","25-44","MALE","BLACK","N"
"32165195","32165195-11643","45-64","MALE","WHITE HISPANIC","Y"
"32303924","32303924-11666","25-44","MALE","BLACK HISPANIC","N"
"32320694","32320694-11678","18-24","MALE","BLACK","N"
"32564594","32564594-11694","18-24","MALE","WHITE HISPANIC","N"
"32690339","32690339-11710","18-24","MALE","BLACK","N"
"32748948","32748948-11738","18-24","MALE","BLACK","N"
"32768845","32768845-11752","18-24","MALE","WHITE HISPANIC","Y"
"32807471","32807471-11764","18-24","MALE","BLACK","N"
"32821775","32821775-11772","18-24","MALE","BLACK","N"
